,country,volume,deaths,cases,index,nn-score_avg,textblob-score_avg,vader-score_avg,native-score_avg
897,Scotland,-0.5500360454512168,0.7560797141685441,1.2255421518791552,0,0.071455938697318,0.027543628431867338,0.0003463218390804574,0.07049808429118774
898,Northern Ireland,-1.0223787087267635,0.0,0.6046092698641209,0,0.3333333333333333,0.05910143097643095,0.18711250000000001,0.3333333333333333
899,Wales,0.642201664301699,-0.06083359030563656,1.3113647150386214,0,0.1679292929292929,0.06409700358563993,0.18957941919191917,0.1856060606060606
900,England,3.4137301953421995,-0.16490682661192707,0.7046502735874395,0,0.08449084751998365,0.06105127460372404,-0.004717768068695263,0.09456183280316248
901,Scotland,1.742064349714939,0.23575774429926227,0.9131525398293128,0,-0.026708074534161495,0.04545176103798578,-0.0733399186121225,-0.13770257728278718
902,Northern Ireland,0.7690373851222413,0.0,0.8014598402602582,0,-0.04248366013071896,0.012819880793226402,-0.08709117647058827,-0.16013071895424835
903,Wales,3.535135112932966,-0.20458685147373318,0.825862837434745,0,0.23264617691154427,0.06336095136729972,0.09362177286356822,0.534763868065967
904,England,2.537760027770059,-0.16791043173112905,0.8422031056780082,0,0.1252915269272378,0.08239077853842956,0.05806001453393473,0.25665031318512305
905,Scotland,0.4465293437514597,0.704047517181616,0.994720938531216,0,0.07587699656665174,0.05630140268561114,0.04274353037766832,-0.0289894014031945
906,Northern Ireland,0.4107541663524404,0.0,0.8868408105525587,0,-0.1794871794871795,-0.00342728500280585,-0.09405598290598292,-0.2692307692307692
907,Wales,1.203517109558512,0.9454392378710397,0.28913828467082664,0,0.13681402439024387,0.13861528134197482,0.02737075076219514,0.04077743902439024
908,England,1.8579530637468926,-0.170914036850331,0.46690072951375217,0,0.17605924978781143,0.08264586534518575,0.12652966742656976,0.2146466791722515
909,Scotland,0.6790612678987509,0.3918543352600468,0.6528278631211109,0,0.016379310344827577,0.02796914716230448,-0.02318290229885058,0.057183908045977005
910,Northern Ireland,-0.6640954899569624,0.0,0.43147563566028924,0,0.27777777777777773,-0.0050882979454408,-0.1215388888888889,0.2222222222222222
911,Wales,1.160338998384911,0.15479630144650836,1.2100329011350601,0,0.2178362573099415,0.06474053751100531,0.09804298245614033,0.3260233918128655
912,England,1.3438701854806174,-0.11384553958549358,0.5832428832382263,0,0.31887595329644897,0.10911577093561,0.21846856592015737,0.410443683433314
913,Scotland,-0.18462873607690206,0.704047517181616,0.7361317596677355,0,0.10655950220378532,-0.005975665561448451,0.018679895860340513,0.2016679630109757
914,Northern Ireland,-0.9029509691368298,0.0,0.6140960443410431,0,0.2222222222222222,0.0192550505050505,0.022033333333333335,-0.2222222222222222
915,Wales,0.037708107871285035,0.5860560849507982,0.6231992096276223,0,0.2789408866995074,0.15610511917590308,0.23255985221674877,0.36822660098522164
916,England,1.861335187946013,-0.17992485220793691,0.942004096049819,0,0.2630871026755377,0.09550364303196833,0.19072197329235718,0.21370769114969868
917,Scotland,-0.5832548917579726,-0.07643543762230685,1.4893378242767996,0,0.02681992337164751,0.02982160203568249,0.12479434865900382,0.15708812260536398
918,Northern Ireland,-1.2612341879066307,0.0,0.8726106488371753,0,0.0,-0.0038966049382716003,-0.046829166666666665,-0.08333333333333333
919,Wales,-0.17818244799671995,0.5141794543667498,0.7156227321990024,0,0.11489898989898989,0.11483061717777734,0.14417525252525248,0.14898989898989898
920,England,2.297629209632523,-0.03274820136704039,0.8845453180879359,0,0.29829901943565523,0.13538635198702473,0.19580174073017342,0.23556341286590168
921,Scotland,-0.6496925843714844,1.0162406991031852,1.1127347919722677,0,-0.014655172413793105,0.025722473002465822,0.0034068103448275894,-0.038505747126436785
922,Northern Ireland,-0.30581227118716153,0.0,0.48602458890259237,0,0.05555555555555555,0.005673550986050983,0.012559722222222217,0.05555555555555555
923,Wales,0.555845441954497,1.1610691296231845,0.793570281355588,0,0.3522727272727273,0.1015103530872241,0.10183181818181816,0.08333333333333334
924,England,1.0935929947457201,-0.011722965532626603,0.8157689020426515,0,0.13303381810253997,0.13225774034240506,0.19588610582268803,0.22052675375299494
925,Scotland,-0.5832548917579726,0.28778994128619045,0.8628231023323938,0,0.026600985221674874,0.037030132659827845,0.054977848932676515,0.11100164203612478
926,Northern Ireland,-0.6640954899569624,0.0,0.6733883848218074,0,0.11111111111111112,0.041087962962962944,0.02992499999999998,0.11111111111111112
927,Wales,0.08088621904488603,0.8016859767029431,0.8826531946774002,0,0.17410714285714282,0.0983127686838624,0.17866026785714284,0.1964285714285714
928,England,0.8805191702011456,0.042341926613008854,0.9429538279169576,0,0.22378868814201794,0.13552620558937675,0.19966142807015022,0.320358594606605
929,Scotland,-0.8157868159052638,0.8601441081424005,1.7722239729663791,0,0.11619644723092999,0.04648445154636376,0.07231888192267502,0.11745036572622779
930,Northern Ireland,-0.30581227118716153,0.0,0.5144849123333592,0,0.14814814814814814,0.07467074849019291,0.14381111111111108,0.2222222222222222
931,Wales,0.037708107871285035,0.011043040278411742,0.4439198465674753,0,0.1581196581196581,0.12545086857586854,0.21876367521367523,0.30395299145299143
932,England,0.29202955955422516,0.042341926613008854,0.6594588655760961,0,0.2767145844638311,0.0927553394962413,0.11223713692067666,0.3137530897359614
933,Scotland,-1.2808506641998463,0.7560797141685441,0.9374495096554116,0,-0.07126436781609194,0.022136699507389165,-0.005764214559386977,-0.0007662835249042119
934,Northern Ireland,-1.0223787087267635,0.0,0.25834200145645764,0,0.26666666666666666,0.0606060606060606,0.14045666666666667,0.3333333333333333
935,Wales,-0.17818244799671995,1.017315868455088,0.2056230534316277,0,0.09999999999999999,0.15317151706800142,0.26956718749999997,0.21249999999999997
936,England,0.22776919977094076,0.2856339412683684,0.7182630970164255,0,0.27551318208278675,0.11110868764862004,0.17332340338273758,0.20072848788238393
937,Scotland,-1.1147564326660668,1.0162406991031852,0.5851434471769784,0,0.16666666666666669,-0.018919179479524314,-0.006952155172413792,0.14655172413793102
938,Northern Ireland,-1.0223787087267635,0.0,0.3792983760372167,0,0.0,0.03007680976430975,-0.005755555555555549,0.05555555555555555
939,Wales,-0.09182622564951796,1.017315868455088,0.41385436332136366,0,0.2571428571428571,0.08574190566378065,0.2389569345238095,0.3142857142857143
940,England,0.31908655314718704,-0.03875541160544433,0.685497347600145,0,0.21134194901367898,0.10758942560291149,0.16746453278958526,0.29340246007340876
941,Scotland,-1.048318740052555,0.704047517181616,0.44630361959927073,0,-0.008045977011494254,0.033402508769965665,0.06606689655172412,0.12183908045977011
942,Northern Ireland,-0.5446677503670289,0.0,0.48128120166413124,0,-0.047619047619047616,-0.015409501763668417,-0.13858968253968254,-0.047619047619047616
943,Wales,-0.955388449121538,0.9454392378710397,-0.12843787152516797,0,0.039772727272727265,0.043034111113453614,0.19562159090909087,0.28409090909090906
944,England,0.3495256709392691,-0.02674099112863645,0.7921838940087105,0,0.2323486663954453,0.0845519159886536,0.07537215169094859,0.2892440532851275
945,Scotland,-0.4503795065309491,0.8081119111554723,1.1908321949847283,0,0.2954627949183303,0.06949221065400685,-0.01988684210526316,0.305989110707804
