,emoji,date,count,colour
368,🙄,2020-11-27,19,"rgb(14, 75, 214)"
369,😍,2020-11-27,25,"rgb(163, 16, 230)"
370,😂,2020-12-04,43,"rgb(149, 4, 130)"
371,❤️,2020-12-04,18,"rgb(110, 85, 18)"
372,🤣,2020-12-04,21,"rgb(224, 42, 127)"
373,👍,2020-12-04,13,"rgb(123, 196, 143)"
374,🙏,2020-12-04,10,"rgb(150, 22, 68)"
375,😊,2020-12-04,11,"rgb(236, 154, 218)"
376,👏,2020-12-04,12,"rgb(162, 53, 41)"
377,🤔,2020-12-04,15,"rgb(108, 220, 231)"
378,🙄,2020-12-04,7,"rgb(14, 75, 214)"
379,😍,2020-12-04,15,"rgb(163, 16, 230)"
380,😂,2020-12-11,46,"rgb(149, 4, 130)"
381,❤️,2020-12-11,23,"rgb(110, 85, 18)"
382,🤣,2020-12-11,28,"rgb(224, 42, 127)"
383,👍,2020-12-11,20,"rgb(123, 196, 143)"
384,🙏,2020-12-11,14,"rgb(150, 22, 68)"
385,😊,2020-12-11,16,"rgb(236, 154, 218)"
386,👏,2020-12-11,13,"rgb(162, 53, 41)"
387,🤔,2020-12-11,10,"rgb(108, 220, 231)"
388,🙄,2020-12-11,20,"rgb(14, 75, 214)"
389,😍,2020-12-11,16,"rgb(163, 16, 230)"
390,😂,2020-12-18,67,"rgb(149, 4, 130)"
391,❤️,2020-12-18,33,"rgb(110, 85, 18)"
392,🤣,2020-12-18,38,"rgb(224, 42, 127)"
393,👍,2020-12-18,39,"rgb(123, 196, 143)"
394,🙏,2020-12-18,15,"rgb(150, 22, 68)"
395,😊,2020-12-18,9,"rgb(236, 154, 218)"
396,👏,2020-12-18,14,"rgb(162, 53, 41)"
397,🤔,2020-12-18,25,"rgb(108, 220, 231)"
398,🙄,2020-12-18,26,"rgb(14, 75, 214)"
399,😍,2020-12-18,21,"rgb(163, 16, 230)"
400,😂,2020-12-25,69,"rgb(149, 4, 130)"
401,❤️,2020-12-25,31,"rgb(110, 85, 18)"
402,🤣,2020-12-25,36,"rgb(224, 42, 127)"
403,👍,2020-12-25,31,"rgb(123, 196, 143)"
404,🙏,2020-12-25,24,"rgb(150, 22, 68)"
405,😊,2020-12-25,12,"rgb(236, 154, 218)"
406,👏,2020-12-25,11,"rgb(162, 53, 41)"
407,🤔,2020-12-25,19,"rgb(108, 220, 231)"
408,🙄,2020-12-25,27,"rgb(14, 75, 214)"
409,😍,2020-12-25,12,"rgb(163, 16, 230)"
410,😂,2021-01-01,151,"rgb(149, 4, 130)"
411,❤️,2021-01-01,79,"rgb(110, 85, 18)"
412,🤣,2021-01-01,86,"rgb(224, 42, 127)"
413,👍,2021-01-01,92,"rgb(123, 196, 143)"
414,🙏,2021-01-01,63,"rgb(150, 22, 68)"
415,😊,2021-01-01,27,"rgb(236, 154, 218)"
416,👏,2021-01-01,19,"rgb(162, 53, 41)"
417,🤔,2021-01-01,43,"rgb(108, 220, 231)"
418,🙄,2021-01-01,55,"rgb(14, 75, 214)"
419,😍,2021-01-01,16,"rgb(163, 16, 230)"
420,😂,2021-01-08,141,"rgb(149, 4, 130)"
421,❤️,2021-01-08,85,"rgb(110, 85, 18)"
422,🤣,2021-01-08,83,"rgb(224, 42, 127)"
423,👍,2021-01-08,52,"rgb(123, 196, 143)"
424,🙏,2021-01-08,51,"rgb(150, 22, 68)"
425,😊,2021-01-08,43,"rgb(236, 154, 218)"
426,👏,2021-01-08,32,"rgb(162, 53, 41)"
427,🤔,2021-01-08,34,"rgb(108, 220, 231)"
428,🙄,2021-01-08,41,"rgb(14, 75, 214)"
429,😍,2021-01-08,19,"rgb(163, 16, 230)"
430,😂,2021-01-15,141,"rgb(149, 4, 130)"
